,acousticness,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade,letter_keys,modes,key_mode,scaled_speech,scaled_duration,scaled_loudness,scaled_tempo,scaled_pop,A Major,A Minor,Ab Major,Ab Minor,B Major,B Minor,Bb Major,Bb Minor,C Major,C Minor,D Major,D Minor,Db Major,Db Minor,E Major,E Minor,Eb Major,Eb Minor,F Major,F Minor,F# Major,F# Minor,G Major,G Minor,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s,artist,label
38,0.898,0.802,57522,0.9890000000000001,0,6qpldKZyxDzIH3kBeb1vzP,0.514,2,0.191,-7.975,0,Old Man Settin' In The Corner Dyin' (142-B-2),1,1935-01-01,0.2439949970121604,133.04399999999998,0.327,1935,1930s,D,Minor,D Minor,1.0,0.009709187476567096,0.814736512410931,0.5450590148755996,0.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
39,0.965,0.701,180558,0.4,0,6sZ3hXyZbyBqRvqptdjTn3,0.00296,8,0.0812,-13.005999999999998,1,"You Can't Lose Me, Charlie",0,1935-01-01,0.0482,102.49600000000001,0.9129999999999999,1935,1930s,Ab,Major,Ab Major,0.19754503407952162,0.03250041864318116,0.7359486336230523,0.4199089683765482,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
40,0.953,0.586,172278,0.867,0,6sa6sUXUCrMdCzXZ92uEM8,0.74,2,0.161,-7.77,1,Way Over In The Promised Land (131-B-2),0,1935-01-01,0.2439949970121604,97.046,0.556,1935,1930s,D,Major,D Major,1.0,0.030966628581251602,0.8179469109701669,0.3975812299511248,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
41,0.993,0.632,258664,0.16899999999999998,0,6aktBbYhnJgD5vY6h7igLQ,0.00157,2,0.0804,-8.699,1,John Hardy,0,1947-01-01,0.0733,126.061,0.825,1947,1940s,D,Major,D Major,0.30041599580972894,0.04696880108002531,0.803398324328557,0.5164508318618877,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
42,0.981,0.631,204173,0.318,0,6dNdQtu3LLSJhI7xRKw3Ip,0.00118,4,0.245,-10.902000000000001,1,Boll Weevil,1,1947-01-01,0.2439949970121604,92.87,0.8690000000000001,1947,1940s,E,Major,E Major,1.0,0.03687486940555632,0.7688982851773549,0.38047285643469037,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
43,0.977,0.6890000000000001,236356,0.38,0,6wTqeA56SCxja2mZoCFMoQ,6.900000000000003e-06,9,0.124,-9.502,1,Bring Me Lil Water Silvy / Julia Ann Johnson / Line 'Em / Whoa Back Buck,0,1947-01-01,0.2439949970121604,100.088,0.625,1947,1940s,A,Major,A Major,1.0,0.042836459449406415,0.7908229582648187,0.41004379514197575,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
44,0.985,0.488,175438,0.49,0,6wfBECVyq0m0R3dW4c6Nh6,0.478,2,0.303,-11.46,1,Good Morning Blues,0,1947-01-01,0.0595,155.483,0.669,1947,1940s,D,Major,D Major,0.2438574590815671,0.03155198807348559,0.760159736903923,0.6369878446972647,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
45,0.7490000000000001,0.657,174420,0.413,0,6wjIZyDzy9qjdlDOWFFG2Y,1.42e-06,9,0.195,-7.959,1,Take This Hammer,0,1947-01-01,0.0593,142.894,0.7290000000000001,1947,1940s,A,Major,A Major,0.24303777014347783,0.031363413401620334,0.8149870801033592,0.5854128173509061,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
46,0.914,0.64,112907,0.47600000000000003,0,2ghxUxEh1MpP6cMIW7vcpB,0.0007099999999999999,8,0.69,-8.556000000000001,1,Relax Your Mind,0,1949-01-01,0.2439949970121604,134.9,0.701,1949,1940s,Ab,Major,Ab Major,1.0,0.019968724020041524,0.8056377730796336,0.5526627364384595,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lead Belly,Third Man
47,0.9790000000000001,0.6459999999999999,67344,0.531,0,70B4TGTKnyPkVIZwSgb9lg,0.00541,10,0.0795,-9.957,1,You Cain' Loose-A-Me Cholly (126-A-2),1,1935-01-01,0.055,111.446,0.9640000000000001,1935,1930s,Bb,Major,Bb Major,0.22541445797455786,0.01152861815147918,0.783697439511393,0.45657562138710567,0.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
48,0.9940000000000001,0.354,345339,0.335,0,74EVo3A7HCSaES9z7OaaMh,0.0602,4,0.251,-10.321,1,Blues I Got Make A New-Born Baby Cry (47-B),1,1935-01-01,0.063,186.702,0.887,1935,1930s,E,Major,E Major,0.25820201549812993,0.06302450803869004,0.7779970245086525,0.7648868659639233,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
49,0.992,0.568,75938,0.3,0,7JaVnPbZC3h81X2t9P9jnT,0.8079999999999999,9,0.14,-13.147,1,Julie Ann Johnson (242-B-3),0,1935-01-01,0.0305,113.899,0.9640000000000001,1935,1930s,A,Major,A Major,0.12500256305861845,0.013120573681940844,0.7337405058335291,0.46662515209491545,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Lead Belly,Third Man
